 Alabama	 Alaska	 Arizona	 Arkansas	 California	 Colorado	 Connecticut	 Delaware	 District of Columbia	 Florida	 Georgia	 Hawaii	 Idaho	 Illinois	 Indiana	 Iowa	 Kansas	 Kentucky	 Louisiana	 Maine	 Maryland	 Massachusetts	 Michigan	 Minnesota	 Mississippi	 Missouri	 Montana	 Nebraska	 Nevada	 New Hampshire	 New Jersey	 New Mexico	 New York	 North Carolina	 North Dakota	 Ohio	 Oklahoma	 Oregon	 Pennsylvania	 Rhode Island	 South Carolina	 South Dakota	 Tennessee	 Texas	 Utah	 Vermont	 Virginia	 Washington	 West Virginia	 Wisconsin	 Wyoming	 Puerto Rico	 Virgin Islands
0.926323319	0.272727273	0.437308869	0.708113804	0.932530758	0.692857143	0.923179693	0.829059829	0.953846154	0.903471232	0.791340396	0.950617284	0.089201878	0.928477171	0.682585426	0.373970346	0.386587771	0.630853994	0.866184448	0.891719745	0.94884654	0.917073171	0.805721605	0.469033856	0.859540636	0.912932138	0.549295775	0.346774194	0.056737589	0.776119403	0.922521339	0.657608696	0.926344086	0.947355474	0.154471545	0.945812808	0.614310646	0.55599473	0.954110429	0.972366149	0.934013605	0.149253731	0.839966485	0.515585812	0.180921053	0.711111111	0.963736939	0.729464286	0.909090909	0.553648069	0.48	0.963800905	0.68
0.912017167	0.277777778	0.422018349	0.699683878	0.922344225	0.698571429	0.918503674	0.846153846	0.938461538	0.89871612	0.781667434	0.938271605	0.079812207	0.920559514	0.66735282	0.337726524	0.424063116	0.635445363	0.857142857	0.878980892	0.93781344	0.908943089	0.791204099	0.455821635	0.843639576	0.925736236	0.521126761	0.326612903	0.053191489	0.778606965	0.900525279	0.635869565	0.903942652	0.933579336	0.138211382	0.937888199	0.605584642	0.516469038	0.944294479	0.95164076	0.923129252	0.134328358	0.830749895	0.491580079	0.194078947	0.705555556	0.955132145	0.696428571	0.92513369	0.534334764	0.4	0.958144796	0.68
0.846924177	0.313131313	0.396024465	0.667017914	0.897208625	0.645714286	0.897795591	0.97008547	0.907692308	0.843081312	0.731460157	0.925925926	0.117370892	0.87780417	0.630300535	0.296540362	0.295857988	0.565656566	0.786618445	0.838641189	0.897693079	0.862601626	0.724594364	0.421139554	0.825971731	0.823303457	0.394366197	0.27016129	0.035460993	0.718905473	0.860801051	0.608695652	0.825806452	0.907749077	0.097560976	0.896123367	0.572425829	0.449275362	0.907730061	0.870466321	0.885714286	0.067164179	0.785923754	0.466141168	0.082236842	0.605555556	0.929932391	0.628571429	0.901069519	0.468347639	0.28	0.898190045	0.68
0.831187411	0.368686869	0.370030581	0.665964173	0.893504432	0.637142857	0.881763527	0.735042735	0.907692308	0.836424156	0.717181023	0.925925926	0.136150235	0.859065717	0.594071634	0.280065898	0.299802761	0.55922865	0.793851718	0.808917197	0.875626881	0.845121951	0.735695986	0.403798514	0.803003534	0.821382843	0.366197183	0.266129032	0.031914894	0.684079602	0.859487853	0.597826087	0.828494624	0.894464945	0.105691057	0.866138359	0.607329843	0.445322793	0.886625767	0.858376511	0.867346939	0.082089552	0.777545036	0.470440702	0.085526316	0.572222222	0.906576521	0.627678571	0.890374332	0.441523605	0.2	0.912895928	0.72
0.82832618	0.393939394	0.366972477	0.677555321	0.885566874	0.628571429	0.880427522	0.965811966	0.907692308	0.834522111	0.726853984	0.888888889	0.136150235	0.858537873	0.573898724	0.286655684	0.339250493	0.551882461	0.813743219	0.802547771	0.87662989	0.839837398	0.707514944	0.397192403	0.78975265	0.830345711	0.225352113	0.25	0.028368794	0.689054726	0.860472751	0.592391304	0.829032258	0.881180812	0.097560976	0.870636111	0.60034904	0.440052701	0.88	0.848013817	0.863945578	0.082089552	0.778382907	0.472590469	0.105263158	0.577777778	0.890596189	0.635714286	0.890374332	0.445815451	0.16	0.907239819	0.72
0.84620887	0.439393939	0.344036697	0.677555321	0.887286678	0.585714286	0.883099532	0.722222222	0.8	0.815026153	0.703362506	0.864197531	0.154929577	0.862496701	0.618773158	0.313014827	0.33530572	0.551882461	0.801084991	0.817409766	0.844533601	0.832113821	0.719043553	0.421139554	0.806537102	0.833546735	0.253521127	0.221774194	0.042553191	0.674129353	0.859816152	0.60326087	0.842473118	0.872078721	0.081300813	0.86292568	0.617801047	0.43083004	0.881717791	0.832469775	0.852380952	0.104477612	0.782153331	0.447509853	0.032894737	0.577777778	0.889366933	0.646428571	0.855614973	0.459227468	0.2	0.898190045	0.72
0.863376252	0.560606061	0.333333333	0.687038988	0.876438682	0.595714286	0.86506346	0.974358974	0.815384615	0.815026153	0.718102257	0.864197531	0.211267606	0.864871998	0.646768217	0.33937397	0.34122288	0.564738292	0.837251356	0.825902335	0.850551655	0.831300813	0.752988898	0.443435178	0.816254417	0.841869398	0.408450704	0.237903226	0.04964539	0.679104478	0.865068943	0.60326087	0.842473118	0.87896679	0.073170732	0.874919683	0.631762653	0.44400527	0.877546012	0.84283247	0.855102041	0.126865672	0.796397151	0.454675743	0.032894737	0.566666667	0.897357099	0.666964286	0.877005348	0.47639485	0.2	0.904977376	0.72
0.879828326	0.631313131	0.337920489	0.712328767	0.877629316	0.607142857	0.871075484	0.987179487	0.8	0.812173086	0.732842008	0.901234568	0.258215962	0.881499076	0.667764512	0.362438221	0.364891519	0.582185491	0.858951175	0.853503185	0.859578736	0.847560976	0.759820666	0.492155244	0.855123675	0.837387964	0.478873239	0.245967742	0.056737589	0.699004975	0.876887722	0.614130435	0.85734767	0.888068881	0.097560976	0.89569501	0.652705061	0.499341238	0.895705521	0.841105354	0.872789116	0.156716418	0.818600754	0.482264421	0.049342105	0.583333333	0.914566687	0.688392857	0.898395722	0.540236052	0.32	0.899321267	0.76
0.858369099	0.97979798	0.333333333	0.704952582	0.87180844	0.614285714	0.814295257	0.978632479	0.753846154	0.780789349	0.715799171	0.901234568	0.272300469	0.858010029	0.658295595	0.382207578	0.376725838	0.574839302	0.831826401	0.804670913	0.81444333	0.798373984	0.748292058	0.504541701	0.843639576	0.829705506	0.478873239	0.237903226	0.067375887	0.609452736	0.847669074	0.614130435	0.822043011	0.882656827	0.105691057	0.869779396	0.621291449	0.548089592	0.872147239	0.735751295	0.865306122	0.186567164	0.789694177	0.461841634	0.046052632	0.616666667	0.90043024	0.696428571	0.882352941	0.554184549	0.28	0.895927602	0.76
0.889127325	0.848484848	0.353211009	0.736564805	0.890858579	0.625714286	0.812291249	0.957264957	0.769230769	0.796481217	0.728235836	0.87654321	0.305164319	0.854579045	0.675998353	0.347611203	0.374753452	0.595041322	0.844484629	0.864118896	0.846539619	0.823170732	0.765798463	0.535920727	0.870141343	0.852752881	0.507042254	0.266129032	0.081560284	0.674129353	0.861457649	0.652173913	0.841218638	0.908241082	0.097560976	0.889912187	0.631762653	0.60342556	0.894478528	0.837651123	0.880952381	0.201492537	0.818181818	0.460408456	0.052631579	0.622222222	0.918254456	0.727678571	0.874331551	0.571351931	0.28	0.899321267	0.76
0.886981402	0.555555556	0.334862385	0.73024236	0.882656436	0.621428571	0.850367401	0.88034188	0.769230769	0.798383262	0.736526946	0.864197531	0.328638498	0.861177092	0.685878963	0.370675453	0.378698225	0.598714417	0.840867993	0.834394904	0.847542628	0.82195122	0.786720751	0.511973576	0.890459364	0.859795134	0.507042254	0.282258065	0.078014184	0.689054726	0.866053841	0.668478261	0.848566308	0.909717097	0.170731707	0.891625616	0.612565445	0.578392622	0.89006135	0.853195164	0.886394558	0.171641791	0.829074152	0.448226442	0.115131579	0.6	0.923786109	0.736607143	0.874331551	0.556330472	0.28	0.917420814	0.76
0.886981402	0.262626263	0.345565749	0.728134879	0.856462495	0.6	0.855711423	0.923076923	0.723076923	0.787922016	0.730078305	0.851851852	0.333333333	0.855106888	0.673528201	0.329489292	0.400394477	0.605142332	0.866184448	0.832271762	0.822467402	0.806097561	0.780956447	0.49132948	0.897526502	0.83546735	0.521126761	0.258064516	0.060283688	0.696517413	0.860144452	0.614130435	0.842473118	0.90701107	0.195121951	0.880488327	0.595113438	0.537549407	0.882944785	0.85492228	0.888435374	0.223880597	0.826979472	0.419921175	0.105263158	0.616666667	0.928088506	0.713392857	0.86631016	0.528433476	0.48	0.926470588	0.76
