Var 1	Var 2	Var 3	Var 4	Var 5	Var 6	Var 7	Var 8	Var 9	Var 10	Var 11	Var 12	Var 13	Var 14	Var 15	Var 16	Var 17	Var 18	Var 19	Var 20	Var 21	Var 22	Var 23	Var 24	Var 25	Var 26	Var 27	Var 28	Var 29	Var 30	Var 31	Var 32	Var 33	Var 34	Var 35	Var 36	Var 37	Var 38	Var 39	Var 40	Var 41	Var 42	Var 43	Var 44	Var 45	Var 46	Var 47	Var 48	Var 49	Var 50	Var 51	Var 52	Var 53	Var 54	Var 55	Var 56	Var 57	Var 58	Var 59	Var 60	Var 61	Var 62	Var 63	Var 64	Var 65	Var 66	Var 67	Var 68	Var 69	Var 70	Var 71	Var 72	Var 73	Var 74	Var 75	Var 76	Var 77	Var 78	Var 79
0.2380952381	0.9034090909	0.9012875536	0.8787096774	0.86846543	0.8629173989	0.88005997	0.8977119785	0.8933649289	0.9066523605	0.8891428571	0.8897216274	0.8976608187	0.9126365055	0.9183922046	0.92	0.9005901044	0.8880931065	0.8917960089	0.8845999196	0.8977810113	0.8875	0.8967828418	0.8929814385	0.8940561365	0.8909185804	0.8876433785	0.8933365292	0.8956266907	0.8927186558	0.8872820077	0.8949538582	0.8955392434	0.8958864216	0.8989316602	0.8999679384	0.9015706806	0.901987852	0.896708286	0.8972553699	0.8985918568	0.8980518825	0.8908986506	0.8884483214	0.8912415784	0.8940316687	0.8856502242	0.8760559981	0.8755404237	0.8775421055	0.8760085837	0.8674680346	0.8648144892	0.867668888	0.8703686846	0.8631216976	0.8773228584	0.8767600659	0.8709324644	0.8773069324	0.8843317526	0.8758755852	0.871732502	0.8675162618	0.8661173079	0.8629487199	0.8623233378	0.8680274859	0.8710803614	0.8746912544	0.8828998818	0.8825211232	0.8825059593	0.8761943406	0.8774544213	0.8742454089	0.8723595811	0.8669265829	0.8819994762
0.253968254	0.1136363636	0.0901287554	0.0438709677	0	0.0017574692	0.0434782609	0.0592193809	0.0781990521	0.0858369099	0.0685714286	0.0802997859	0.104288499	0.1287051482	0.131546894	0.1318518519	0.1139355424	0.0908683975	0.0904656319	0.1089666265	0.1273190251	0.1194852941	0.1313672922	0.1299303944	0.1166758393	0.108559499	0.1040145985	0.1186481304	0.1131650135	0.1044808272	0.0933645257	0.1093657962	0.102955016	0.1010192938	0.1073427166	0.1118948381	0.1144353029	0.120789619	0.1175431959	0.1089498807	0.1078484882	0.0962955486	0.0800076562	0.0865274474	0.08991017	0.0902056316	0.0769585861	0.0849022448	0.0927367056	0.0978012911	0.0988412017	0.091914861	0.0776859504	0.0729558159	0.0648460021	0.0747295144	0.0807020194	0.0778196374	0.0713074142	0.0775213352	0.0875060486	0.0774144376	0.0749768749	0.0748871631	0.0775629778	0.0801298837	0.0834579255	0.0923336028	0.099715862	0.1044819069	0.0927753024	0.0946274644	0.0934789274	0.0827850718	0.08606363	0.0899971859	0.1017182364	0.1140878845	0.1272271486
0.2698412698	0.0757575758	0.0847639485	0.0916129032	0.1129848229	0.1230228471	0.1139430285	0.1063257066	0.1030805687	0.1030042918	0.1097142857	0.1006423983	0.0984405458	0.0912636505	0.0742996346	0.0681481481	0.0590104403	0.0631154879	0.0811529933	0.0856453559	0.0843943252	0.0882352941	0.0857908847	0.0800464037	0.0820033021	0.0806367432	0.0784671533	0.0759827421	0.0802524797	0.0777682034	0.0791152701	0.0785391714	0.0833803877	0.082999636	0.0817364762	0.0833600513	0.0816753927	0.0797901712	0.0747887502	0.0766109785	0.0789215151	0.0801453518	0.0829744473	0.0846770641	0.0813282002	0.0806047145	0.0808493801	0.0826092204	0.0809554691	0.0785807892	0.0754935622	0.0722762422	0.0740988219	0.0724504943	0.0699135184	0.0686628086	0.0682882611	0.0676948434	0.0667098156	0.066780174	0.0706474402	0.0675244075	0.0682791463	0.0714024957	0.0735837824	0.0689221745	0.0712149849	0.069091889	0.0692124409	0.0697824992	0.0703600982	0.0709972689	0.0783161726	0.0737037359	0.0707063042	0.0687733186	0.07086982	0.0771173117	0.0746062035
0.2857142857	0.0123106061	0.0107296137	0.0077419355	0.0050590219	0.0052724077	0.0074962519	0.0067294751	0.0082938389	0.025751073	0.0297142857	0.0289079229	0.0272904483	0.0257410296	0.0237515225	0.027654321	0.0204266909	0.0237242614	0.0407982262	0.0361881785	0.030556566	0.0305147059	0.029155496	0.0295823666	0.0275178866	0.0234864301	0.023983316	0.0218120805	0.0263751127	0.0247738044	0.025095704	0.0270960141	0.0325616413	0.0320349472	0.0323893505	0.036069253	0.0335078534	0.0323025953	0.0394753437	0.041646778	0.0422442965	0.04451398	0.0444061633	0.045290334	0.0474815528	0.054381314	0.0567792139	0.057446295	0.0592304367	0.0593117507	0.0622317597	0.0649261159	0.0654123439	0.0633547042	0.0646032469	0.0640498756	0.0653170167	0.0663056275	0.0677141454	0.0679152478	0.0737443143	0.0699016441	0.0702319367	0.0714024957	0.0737561098	0.0705232758	0.0704674321	0.0702506063	0.0702827364	0.070753699	0.072610712	0.074368439	0.0820846068	0.0792877914	0.0731346398	0.0705253316	0.0714643655	0.078348076	0.0770007857
0.3015873016	0.0549242424	0.0611587983	0.0683870968	0.0792580101	0.0738137083	0.0659670165	0.0605652759	0.0497630332	0.0493562232	0.0525714286	0.0481798715	0.0409356725	0.0335413417	0.0255785627	0.0232098765	0.0118020881	0.0102954342	0.0199556541	0.0237233615	0.0232811932	0.0231617647	0.0214477212	0.0211716937	0.0198128784	0.017223382	0.0174661105	0.0148609779	0.019386835	0.0174493753	0.0210548703	0.0188494011	0.0216450216	0.0238441937	0.0240800407	0.0256492466	0.0260284218	0.0270568747	0.0282507252	0.0304295943	0.0295819234	0.0330069648	0.0374198488	0.0388580492	0.038418351	0.0398366411	0.0472830388	0.0527999035	0.0506917423	0.0534873562	0.0552360515	0.0596432126	0.0708985405	0.0749139374	0.0834774693	0.0806284772	0.0828423226	0.080409701	0.0818640361	0.0770168579	0.0783509145	0.0784125141	0.0757305834	0.0694112571	0.0633381376	0.0537640845	0.0504668679	0.0479250876	0.0474752494	0.0501786528	0.0570269164	0.0566591278	0.0678713787	0.0633664705	0.051402933	0.0474768289	0.0424760271	0.0468087472	0.044434467
0.3174603175	0.0160984848	0.0150214592	0.0129032258	0.0134907251	0.0123022847	0.0134932534	0.0121130552	0.0106635071	0.0150214592	0.016	0.0139186296	0.0136452242	0.011700468	0.009135201	0.0118518519	0.0045392646	0.0040286482	0.0146341463	0.0164857258	0.0163695889	0.0150735294	0.0137399464	0.0139211137	0.0121078701	0.0080897704	0.0054744526	0.0033557047	0.0076645627	0.0043084877	0.0046788601	0.0035342627	0.0052700922	0.0047324354	0.0037307105	0.0056107727	0.0046372476	0.00496963	0.0044141758	0.0045346062	0.0046938107	0.0049459978	0.0043066322	0.0039651071	0.003930061	0.0045855126	0.0052756529	0.0092324403	0.0096195417	0.0084939087	0.0104291845	0.0114462905	0.012027431	0.007106086	0.0073130026	0.0071570354	0.0080576119	0.0082411114	0.0081685489	0.0071047211	0.0103551727	0.007113563	0.0067319881	0.0066374618	0.0091176839	0.0051325024	0.0048943553	0.0047830773	0.0063070984	0.0063307834	0.009013822	0.0109989758	0.0211962058	0.0176216561	0.0099884275	0.0074528636	0.0085359742	0.0143165685	0.0132525162
0.3333333333	0.0113636364	0.0096566524	0.0064516129	0.0033726813	0.0035149385	0.0059970015	0.0053835801	0.0047393365	0.0096566524	0.0114285714	0.0096359743	0.0087719298	0.007800312	0.006090134	0.0088888889	9.078529278256924E-4	0	0.0115299335	0.0136710897	0.0138232084	0.0125	0.0107238606	0.0104408353	0.0085305449	0.0049582463	0.0028675704	0	0.0038322813	2.1542438604049978E-4	8.507018290089324E-4	0.0019634793	0.0033879164	0.0025482344	0.0015261998	0.0035267714	0.0019446522	0.0017945886	0.0012611931	0.0010739857	0.0013099007	0.0010093873	0	0	4.010266281681104E-4	0	0	0.0016292542	0.003512754	0.0031548804	0.0050643777	0.0054743128	0.005275189	0	0	0	0	2.354603249352484E-4	2.9013971343123685E-4	2.5223861773237486E-4	0.0042582019	8.891953689253439E-4	2.5694610983589713E-4	9.624319660161953E-4	0.0036658729	1.1970850977868885E-4	0	0	0.0011594868	0.0018584686	0.0028303174	0.004886063	0.0131054469	0.0085209982	0.0020773653	0	8.493506714117057E-4	0.0072019565	0.0055823699
0.3492063492	0.0113636364	0.0096566524	0.0064516129	0.0033726813	0.0035149385	0.0059970015	0.0053835801	0.0047393365	0.0096566524	0.0114285714	0.0096359743	0.0087719298	0.007800312	0.006090134	0.0098765432	0	0	0.0115299335	0.0136710897	0.0138232084	0.0125	0.0107238606	0.0107308585	0.0085305449	0.004697286	0.0028675704	0	0.0038322813	2.1542438604049978E-4	8.507018290089324E-4	0	0.0016939582	0.0010921005	0	0.0012824623	0	0	0	0	0	0	0	7.049079214027668E-4	0	2.1494590528050442E-4	2.637826431020839E-4	0.0036205648	0.004539559	0.0044653691	0.0060085837	0.0063930786	0.0069632495	0.0015791302	0.0012137764	7.548435796359977E-4	5.287807825955582E-4	0	0	0	0.0037743153	0	0	0	0	0	0.0012694293	6.736728644570195E-4	0	0	0.0015799764	0.0043633183	0.012581229	0.0086562521	0.0019919941	0.0012073457	0	0.0084247804	0.0072585775
0.3650793651	0.1297348485	0.135193133	0.1393548387	0.1450252951	0.1335676626	0.1259370315	0.1170928668	0.1208530806	0.1169527897	0.1074285714	0.1070663812	0.0994152047	0.0842433697	0.0639464068	0.0567901235	0.0458465729	0.0474485228	0.066075388	0.0695617209	0.0687522736	0.0713235294	0.0730563003	0.0658352668	0.0632911392	0.0613256785	0.0633472367	0.0616011505	0.0674030658	0.0661352865	0.0686941727	0.0679363833	0.0730284209	0.0740808154	0.0747837884	0.0780698942	0.0804786836	0.0819988956	0.080842477	0.0823389021	0.0820871084	0.0848894721	0.0894822471	0.0891708521	0.0879050369	0.0896324425	0.0971379583	0.1014361574	0.1008971033	0.1040625152	0.1066523605	0.1116300436	0.1260770178	0.1347945552	0.1494158701	0.1489278425	0.1535478673	0.1540381446	0.1552247467	0.1507125741	0.1526758928	0.1593292926	0.1582616739	0.1546694544	0.1451779672	0.1339837496	0.1328951451	0.1354082458	0.1383229489	0.1420349632	0.1475175048	0.1386767091	0.1497680583	0.1419779923	0.1284551612	0.1211793862	0.1225528084	0.1290714479	0.1302652748
0.380952381	0.0227272727	0.0225321888	0.0361290323	0.0320404722	0.0333919156	0.0329835082	0.0323014805	0.0414691943	0.0311158798	0.0388571429	0.0364025696	0.0350877193	0.0288611544	0.0225334957	0.0212345679	0.0149795733	0.0250671441	0.0585365854	0.0570969039	0.0512913787	0.0536764706	0.0576407507	0.0435034803	0.0412768299	0.0375782881	0.0401459854	0.0376318313	0.0417042381	0.0422231797	0.0508294343	0.0475161987	0.0500658762	0.0547870404	0.0515516364	0.052901571	0.0501121915	0.0499723909	0.0499432463	0.0572792363	0.0612378561	0.0628848289	0.0714900947	0.0778042118	0.0785210138	0.0809629577	0.0884990768	0.1061428916	0.103923476	0.0986749502	0.0958369099	0.0965469719	0.1052576051	0.1021065597	0.1088757396	0.1081383321	0.1012237498	0.1000941841	0.1006561621	0.0982889814	0.099893545	0.0986099517	0.1019390866	0.1105967078	0.1198771776	0.1172694489	0.1154757539	0.1166801401	0.1174012206	0.1143977363	0.1128944258	0.1128488521	0.1197986212	0.1239988793	0.1239968887	0.1224865876	0.1224338993	0.1296431577	0.1262169342
