Var 1	Var 2	Var 3	Var 4	Var 5	Var 6	Var 7	Var 8	Var 9	Var 10	Var 11	Var 12	Var 13	Var 14	Var 15	Var 16	Var 17	Var 18	Var 19	Var 20	Var 21	Var 22	Var 23	Var 24	Var 25	Var 26	Var 27	Var 28	Var 29	Var 30	Var 31	Var 32	Var 33	Var 34	Var 35	Var 36	Var 37	Var 38	Var 39	Var 40	Var 41	Var 42	Var 43	Var 44
0.3455988843	0.0053295671	0.1564445372	0.4825072886	0.4021592443	0.7303058387	0.53	0.1570247934	0.1124031008	0	0.1281725888	0.7575757576	0.2717303823	0.3064516129	0.6923076923	0.6100993377	0.324981577	0.0902777778	0.2854353768	0.394085282	0.2009803922	0.0712256109	0.1534343319	0.7524822695	0.12890625	0.5810572687	0.705952584	0.0823587345	0.4748628885	0.7985480944	0.2823033708	0.0662373505	0.1958984375	0.1586356253	0.5025380711	0.3322341303	0.0035650624	0.0052631579	0.0050377834	0.001826484	0.5541401274	0.4519230769	0	0
0.4957893043	0	0.1649186162	0.556851312	0.5249662618	0.7154772938	0.52	0.1570247934	0.1279069767	0.0676519185	0.1892449239	0.8484848485	0.2750503018	0.3064516129	0.7384615385	0.5604304636	0.3142962417	0.1006944444	0.2799687622	0.4903713893	0.1088235294	0.014396666	0.1368037362	0.7392907801	0.11328125	0.577092511	0.6923076923	0.0742336575	0.4712065814	0.777676951	0.2668539326	0.0478380865	0.20546875	0.1348132106	0.5304568528	0.3375927453	0.0035650624	0	0	0	0.5414012739	0.4519230769	0	0
0.737166765	0.0279802273	0.1720889909	0.7011661808	0.7476383266	0.7071362373	0.5	0.1652892562	0.1085271318	0.0436937764	0.1756027919	0.7878787879	0.2840040241	0.3064516129	0.7076923077	0.6349337748	0.309137804	0.1145833333	0.2789275023	0.5144429161	0.1039215686	0.0543663573	0.1340699396	0.7266666667	0.0859375	0.572246696	0.6801978509	0.0771882309	0.4593235832	0.7613430127	0.2612359551	0.0579576817	0.2130859375	0.1364374662	0.5507614213	0.3544929926	0.0249554367	0.0078947368	0	0.0310502283	0.5350318471	0.4519230769	0	0
0.7908062007	0.0746139395	0.1786075132	0.6982507289	0.7489878543	0.7006487488	0.49	0.1487603306	0.1007751938	0.0390123003	0.1949555838	0.8181818182	0.3136820926	0.3387096774	0.6923076923	0.517384106	0.4229918939	0.1458333333	0.3027463231	0.5708390646	0.0254901961	0.0316347793	0.1245016517	0.7129078014	0.08203125	0.5524229075	0.6714992325	0.0773113382	0.4565813528	0.7441016334	0.2668539326	0.0657773689	0.2205078125	0.1164049811	0.5609137056	0.3594394064	0.0516934046	0.0184210526	0.0277078086	0.0465753425	0.5159235669	0.4519230769	0.3333333333	0
0.69961916	0.0746139395	0.1851260356	0.639941691	0.669365722	0.6932344764	0.46	0.132231405	0.0775193798	0.0769230769	0.2118496193	0.8181818182	0.2935613682	0.3225806452	0.7230769231	0.4437086093	0.3168754606	0.1631944444	0.3061304178	0.439477304	0.0323529412	0.0376965334	0.123476478	0.7005673759	0.06640625	0.540969163	0.6617772471	0.0781730888	0.4483546618	0.7277676951	0.2598314607	0.0620975161	0.229296875	0.1207363292	0.5685279188	0.3887056884	0.0534759358	0.0184210526	0.0327455919	0.0639269406	0.5031847134	0.4519230769	0.3333333333	0
0.47433353	0.0706167642	0.1896890013	0.5029154519	0.4790823212	0.6784059314	0.42	0.1239669421	0.0736434109	0.0655406646	0.2015387056	0.7878787879	0.2929577465	0.3225806452	0.6923076923	0.3344370861	0.3426676492	0.1666666667	0.3046986854	0.5233837689	0.0215686275	0.0323924986	0.1288301629	0.6965957447	0.05078125	0.5484581498	0.6547842402	0.0830973778	0.4488117002	0.7132486388	0.2640449438	0.0597976081	0.247265625	0.1039523552	0.5583756345	0.4031327288	0.0481283422	0.0184210526	0.0453400504	0.0511415525	0.4904458599	0.4519230769	0.3333333333	0
0.2597757872	0.0746139395	0.2027260461	0.3556851312	0.2631578947	0.6635773865	0.44	0.1074380165	0.019379845	0.0653570773	0.201142132	0.7575757576	0.2926559356	0.3225806452	0.6923076923	0.4834437086	0.2737656595	0.1666666667	0.3006638032	0.4339752407	0.031372549	0.0225421481	0.1174393439	0.6875177305	0.04296875	0.5427312775	0.646426744	0.0792810538	0.4561243144	0.6941923775	0.268258427	0.029898804	0.25390625	0.1077422848	0.5456852792	0.401071723	0.055258467	0.0263157895	0.080604534	0.0602739726	0.4904458599	0.4519230769	0.6666666667	0
0.3455988843	0.0786111148	0.2072890117	0.4358600583	0.3981106613	0.6496756256	0.4	0.1074380165	0	0.0921608225	0.2174809645	0.7878787879	0.2840040241	0.3064516129	0.6923076923	0.5132450331	0.2951363301	0.1527777778	0.2984511259	0.4105914718	0.0029411765	0.0212161394	0.1161863538	0.6778723404	0.04296875	0.5484581498	0.6326112911	0.0807583405	0.4277879342	0.6851179673	0.279494382	0.0390984361	0.2583984375	0.1207363292	0.5685279188	0.4196207749	0.0606060606	0.0315789474	0.0856423174	0.0721461187	0.4904458599	0.4519230769	0.6666666667	0
0.5547926836	0.0799435066	0.2098964207	0.5451895044	0.5668016194	0.6450417053	0.38	0.1074380165	0	0.1469616303	0.2605488579	0.8181818182	0.2786720322	0.3064516129	0.7384615385	0.3849337748	0.29550479	0.1909722222	0.2923337238	0.4497936726	0.0078431373	0.0197007009	0.1099214033	0.6706382979	0.0390625	0.5488986784	0.6239126727	0.0855595223	0.4104204753	0.6624319419	0.3075842697	0.0349586017	0.2625	0.1505143476	0.6065989848	0.4018961253	0.073083779	0.0394736842	0.0906801008	0.0858447489	0.4840764331	0.4519230769	0.6666666667	0
0.662071555	0.0919350326	0.2203260565	0.5787172012	0.624831309	0.640407785	0.35	0.0909090909	0.1511627907	0.1199742978	0.2416719543	0.7878787879	0.284305835	0.3064516129	0.6923076923	0.3791390728	0.2903463522	0.1979166667	0.3123779774	0.3741403026	0.0480392157	0.0681947339	0.1237042943	0.6605673759	0.0390625	0.5431718062	0.6140201262	0.1075957159	0.418190128	0.665154265	0.3356741573	0.0441582337	0.2689453125	0.1932864104	0.6243654822	0.4072547403	0.073083779	0.0368421053	0.0881612091	0.0840182648	0.4203821656	0.4519230769	1	0
