Control	Regional Code	Program Size Quartile	R Rankings:5th Percentile	R Rankings:95th Percentile	S Rankings:5th Percentile	S Rankings:95th Percentile	Research Activity:5th Percentile	Research Activity:95th Percentile	Student Support & Outcomes:5th Percentile	Student Support & Outcomes:95th Percentile	Diversity:5th Percentile	Diversity:95th Percentile	1:Publications per Allocated Faculty	2:Citations per Publication	3:Percent Faculty with Grants	4:Awards per Allocated Faculty Member	9:Percent 1st-yr Students with Full Support	15:Average Completion Percentage	16:Median Time to Degree	17:Percent with Academic Plans	Post-Graduation Employment(1=Yes; -1=No)	14:Average Number of  Ph.D.s Graduated	5:Percent of Interdisciplinary Faculty	8:Average GRE Scores	10:Percent of 1st-yr Students with External funding	18:Student Work Space	19:Student Health Insurance	20:Number of Student Activities Offered	Total Faculty- 2006 	Number of Allocated Faculty- 2006	Assistant Professors as a Percent of Total Faculty- 2006	Tenured Faculty as a Percent of Total Faculty- 2006	Number of Core and New Faculty- 2006	Number of Students Enrolled- Fall 2005	Average Annual First Year Enrollment-  2002-2006	Percent of Students with Research Assistantships- Fall 2005	Percent of Students with Teaching Assistantships- Fall 2005
Private	5	1	80	116	88	111	79	108	126	127	106	117	0.47	0.73	53.8	0	0	23.7	4.67	0	-1	1.6	29.2	768	86.4	-1	-1	14	24	20.5	25	50	17	20	5.8	0	0
Public	3	3	58	86	84	105	76	107	47	98	60	89	0.63	0.54	46	0.32	100	48.3	5.5	0	1	3.8	15.6	779	0	1	1	15	45	37.3	13	76	38	52	14.4	8	80
Public	5	2	85	120	111	125	100	121	86	121	40	76	0.32	0.51	50	0.03	100	69	6.6	0	-1	2.2	0	764	0	1	-1	11	29	29	10	38	29	28	6	25	75
Private	1	3	9	25	5	17	4	22	32	91	27	61	1.22	2.05	60	0.77	88.9	81.8	5	30	-1	8	5.6	800	0	-1	1	16	36	33.9	22	47	34	56	10.4	5.4	0
Private	1	4	12	37	15	42	21	55	7	43	87	109	0.83	1.04	74.9	0.97	100	58.2	5.7	46.3	1	9.4	0	800	0	1	1	16	44	36.48	14	86	44	67	12	4.5	65.7
Private	1	1	78	108	65	90	80	107	7	51	90	108	0.63	0.61	43.8	0.16	100	30.3	4.75	61.5	1	2.4	0	800	0	1	1	16	19	18.45	11	74	19	27	6.2	0	0
Private	3	3	14	47	13	38	19	57	6	45	108	118	0.78	1.14	82	0.58	100	51.4	4.6	42.9	1	5.2	18.8	794	25	1	1	16	32	25.23	0	75	26	43	8.8	16.3	27.9
Private	3	2	71	104	53	84	58	83	6	66	19	52	1.26	0.5	36.4	0	100	33.8	4	47.4	1	3.8	0	771	0	1	1	14	25	25	24	76	25	28	8.4	0	0
Public	3	4	50	82	50	88	30	72	86	117	23	57	1.05	1.03	55.8	0.05	90.9	9.1	5	0	1	3.4	0	778	0	1	1	16	43	43	26	72	43	83	18.4	10.1	82.3
Private	3	1	99	120	96	116	99	119	39	107	14	38	0.56	0.45	37.5	0	100	23.3	5.1	0	1	1.2	0	795	0	1	1	14	12	12	8	92	12	21	4.6	0	68.4
Public	3	3	24	52	27	60	18	52	62	105	51	91	1.24	1.02	63.4	0.19	100	36.3	5.33	0	1	5	20.8	800	0	1	-1	15	72	44.53	19	78	57	44	9.6	0	45.5
Private	1	3	2	5	1	4	3	9	1	14	26	67	0.73	1.81	77.2	4	100	91.3	5	37.8	1	10	8.1	800	40	1	1	16	37	33.22	32	N/D	34	48	10.2	0	0
Private	3	2	112	127	66	94	99	122	74	119	4	10	0.43	0.34	50	0	100	30.8	7	45.5	-1	2.8	5.3	777	71.4	-1	-1	15	19	18.5	0	79	18	35	5.8	0	37.9
Public	2	4	14	39	12	32	16	45	22	84	42	80	1.3	1.02	69.7	0.12	100	47.6	6	34.5	1	9.6	26.7	790	16.7	-1	1	17	60	43.98	8	87	44	145	28	0	61.7
Public	2	1	72	110	90	113	81	108	38	108	113	120	0.67	0.8	34.1	0	100	23.3	6	0	1	1	0	785	0	-1	1	17	29	28.5	21	66	29	12	3.4	0	33.3
Public	2	1	70	99	69	96	81	114	3	43	35	70	0.82	0.32	39.5	0	100	75.6	5.7	37.5	1	3.6	9.1	787	0	-1	1	15	22	16.2	23	68	20	23	5.2	0	91.7
Private	3	2	39	63	56	83	53	79	39	97	66	96	0.75	0.95	52.6	0.42	100	42.8	6	23.8	1	2.4	0	796	0	1	1	18	24	24	29	71	24	31	8.2	0	0
Public	2	1	65	96	85	108	102	121	3	71	23	67	0.49	0.37	42.4	0.04	100	55.3	6	50	1	1.6	3.4	777	0	1	1	18	29	28.06	7	76	28	24	5.8	0	46.9
Public	2	1	57	90	62	89	70	100	16	63	46	82	0.69	0.7	50	0.06	50	81	4.8	50	1	2.8	16.7	777	0	1	-1	16	18	15.77	28	72	15	10	2.6	0	83.3
Private	1	1	101	125	105	122	122	125	24	79	80	105	0.45	0.24	17.8	0.23	62.5	48	6	70	1	2.8	18.5	768	0	-1	1	15	27	21.99	7	81	22	25	5	0	78.6
Public	4	4	51	79	55	87	62	95	26	84	25	59	0.73	0.48	66.7	0.01	87.5	36.2	5	46.2	1	6.6	13.8	778	0	1	1	16	58	49.86	26	74	50	78	21.8	9.1	76.6
Private	1	3	5	11	4	11	4	19	13	57	39	78	1.01	1.09	74.5	3.07	100	78.4	4.1	36.3	-1	14.4	0	800	0	-1	1	17	30	29.5	17	70	30	65	15.2	7.7	61.5
Public	2	4	11	43	24	52	20	51	87	117	8	28	1.23	0.92	67.1	0.15	95	24.1	6.8	21.2	1	10.2	14.1	792	4.5	1	1	18	64	52.48	19	77	55	85	18.2	10.6	71.8
Public	2	1	66	105	58	88	68	98	72	120	1	8	0.73	0.82	44.1	0	91.7	41.7	4	0	-1	2.4	38.2	788	0	-1	1	15	34	19.78	9	85	21	26	7	4	56
Public	4	1	87	126	110	126	82	106	120	127	1	7	0.87	0.47	34	0.05	0	45.8	6.75	0	1	1.4	13.6	710	6.1	-1	-1	18	22	18.78	14	82	19	12	1.8	11.1	66.7
Public	5	2	106	125	101	120	97	116	33	101	107	118	0.44	0.86	32.7	0	100	0	5	55.6	1	4.6	4	741	0	1	-1	15	25	23.62	8	84	24	30	9.4	9.4	90.6
Public	5	1	73	115	61	90	73	102	80	118	3	10	0.73	0.4	53.3	0.22	80	28.3	5.5	54.5	-1	3	0	777	10	1	1	17	23	23	4	100	23	24	2	13.6	63.6
Private	1	3	2	6	1	4	1	2	15	89	50	93	1.88	1.72	82.4	2.69	87.5	58.5	5	27.8	1	4.8	5	800	9.1	1	1	17	40	25.32	5	90	38	51	9	52.9	43.1
Public	3	3	50	75	41	73	34	73	20	77	95	112	0.99	0.71	67.9	0.17	92.3	45	5.8	45.2	1	6	4.7	765	0	-1	1	18	64	27.75	20	77	61	61	12.8	17.5	61.4
Private	1	1	44	69	58	87	54	81	19	80	124	127	1.14	0.84	35	0	100	51.9	5.76	31.3	1	3.2	0	793	0	1	1	17	20	20	0	95	20	18	5.6	0	94.4
Public	2	2	115	126	118	126	114	123	42	102	57	87	0.65	0.45	16.7	0	100	24.7	7	46.2	1	3.2	0	727	0	-1	1	13	20	20	0	90	20	37	8	0	100
Private	2	3	29	57	39	74	34	70	12	66	55	89	0.9	0.7	69.4	0.46	100	65.2	4.7	18.8	1	6.4	0	777	0	1	1	15	29	28.48	14	83	29	47	10	0	44.7
Public	2	4	18	46	52	82	42	73	90	119	32	75	0.79	0.83	61.4	0.61	100	17.7	7	19.4	1	9.2	1.6	800	0	1	1	18	62	60.83	3	89	61	122	26	0	0
Public	2	1	108	125	105	121	116	124	63	110	84	109	0.55	0.35	23.1	0	100	28.7	5	0	-1	1.8	0	777	16.7	-1	-1	15	26	26	19	73	26	17	5.4	0	64.7
Public	5	2	81	111	99	120	78	105	120	126	88	106	0.44	0.94	47.9	0.04	66.7	26.7	7.25	0	-1	1.6	0	777	6.3	-1	1	14	28	24.92	0	82	28	32	8.8	3.3	76.7
Public	1	4	5	16	5	16	5	26	32	86	10	33	1.54	0.91	83.6	0.55	93.8	41.5	5.6	35.5	1	9	45.5	800	0	1	1	18	101	55.57	12	77	55	75	24.4	4.2	52.6
Private	1	3	1	4	1	3	1	3	3	25	39	78	1.28	1.65	85.6	4.32	100	83.5	4.7	28.3	1	10.2	9.1	800	43.8	1	1	14	44	37.27	2	70	40	60	13.2	11.7	0
Public	2	4	12	42	26	59	22	55	105	122	8	25	1.08	1.09	68.9	0.08	88.2	14	7.67	26.2	1	9.6	8.2	800	11.8	1	1	18	73	60.48	11	86	67	150	28.6	14.7	56.9
Private	1	3	26	67	20	57	21	57	26	103	14	39	0.84	1.01	83.5	0.47	100	49.9	4.7	0	1	8	56	755	0	-1	-1	17	50	20.16	10	84	22	56	12.4	24.1	44.4
Private	4	2	32	57	55	84	55	84	42	92	92	111	0.71	0.89	61.5	0	50	82	5.5	31.6	1	3	0	800	11.1	1	1	18	17	17	0	82	17	28	7	17.9	0
Public	1	4	12	36	14	41	10	30	36	96	55	89	1.07	1.46	75.8	0.65	100	36.3	5.33	25	1	9.8	0	784	0	1	1	15	64	58.22	8	91	64	70	11.6	7.5	77.6
Public	2	1	109	122	105	122	115	124	62	110	5	23	0.52	0.23	27.3	0.19	100	40	4	0	-1	2	0	777	0	1	-1	13	32	32	13	72	29	15	3.6	0	80
Private	5	4	4	9	3	9	3	12	5	36	36	79	1.43	1.36	85.3	1.38	100	78.2	5	28.3	1	10.8	11.5	800	7.7	1	1	16	26	22.95	12	85	23	67	15.2	0	19.4
Public	1	2	101	124	100	118	106	120	67	114	117	122	0.54	0.39	35.4	0.04	100	10.7	7	75	-1	1.8	4.3	748	14.3	1	1	14	23	22.38	4	91	22	34	5.2	0	66.7
Public	1	3	74	104	64	89	85	109	3	27	16	41	0.88	0.45	28	0.16	87.5	58.4	4.9	63.2	1	5	5	759	0	1	1	18	20	19.17	5	90	19	52	12.2	0	75
Public	1	3	99	119	107	120	102	114	75	114	10	32	0.49	1.13	15.5	0.03	85.2	25	6	0	1	4.2	3.1	725	23.1	-1	1	15	32	30.81	N/D	N/D	31	64	16	1.7	49.2
Public	1	3	13	42	24	63	19	59	52	102	41	86	1.05	0.92	66	0.74	95.7	31.2	5.9	30	1	7.8	0	793	0	1	1	17	29	27.6	17	72	29	65	12	27.7	55.4
Private	1	1	113	125	89	113	110	124	14	90	33	68	0.27	0.43	40	0.31	100	50	6	0	-1	1.6	5	777	0	-1	-1	13	20	19.5	15	35	10	27	6	17.6	82.4
Private	1	2	50	81	34	78	33	79	9	61	55	89	0.81	0.84	73.6	0	100	33	5.67	0	1	2.2	0	770	0	1	1	18	30	29.95	3	90	30	35	10.4	2.9	79.4
Public	1	1	83	114	67	95	77	107	3	42	16	45	0.78	0.62	38.5	0	100	47	6	68.4	1	4.6	0	751	0	1	1	12	16	16	0	100	16	24	7	10.5	89.5
Public	4	4	12	41	19	55	12	45	79	111	25	65	1.31	0.82	83.4	0.15	83.3	32.5	5	17.9	1	8.8	3.2	788	0	1	1	17	63	52.13	14	81	61	70	17.4	14.5	71
Public	4	3	88	114	98	118	102	121	23	79	33	64	0.53	0.34	41.4	0	100	38.7	4	0	1	6.4	0	746	0	1	1	17	43	43	14	65	43	45	13.6	9.3	60.5
Private	1	1	72	113	82	104	88	109	47	114	13	34	0.73	0.62	30.8	0.07	100	56	5	0	-1	1.4	0	777	0	1	1	18	15	13.91	0	87	15	17	2.2	11.8	52.9
Private	4	1	101	123	99	122	82	113	97	120	37	71	0.6	0.37	54.5	0	100	12.2	5	0	1	1	10.5	731	50	1	1	14	19	18	0	84	17	27	7.8	3.7	63
Public	4	1	84	115	82	102	78	100	29	91	8	23	1.02	0.45	23.9	0.37	100	36.2	5.4	0	1	4.2	6.3	733	14.3	1	1	14	16	13.61	0	94	15	26	5	0	88.9
Public	5	2	20	48	21	53	16	47	36	97	76	100	0.99	1.42	66.4	0.35	100	39.2	6	0	1	3.8	3.6	800	0	1	1	17	56	47.62	14	N/D	54	41	9.75	0	48.8
Public	4	1	82	116	105	125	107	123	31	117	85	107	0.42	0.53	34.2	0.09	100	33.3	6.4	0	1	1.6	0	777	0	-1	1	17	11	10.76	9	91	11	10	3.4	0	61.5
Public	5	4	1	3	3	8	3	10	35	89	110	120	1.16	1.7	72	2.42	100	43	5.7	27.4	1	24.4	4.4	800	12	1	1	18	68	60.2	6	93	65	157	30.4	19.7	0
Public	5	3	16	47	9	33	5	24	24	89	99	114	1.3	1.25	93.5	0.35	100	33	4.72	33.3	1	4	6.3	770	11.1	1	1	18	32	21.34	9	81	30	63	14	11.3	14.5
Public	5	4	20	52	11	34	4	16	105	120	60	90	1.41	1.53	82.5	0.53	66.7	13.3	6	35	1	4.8	0	784	19	-1	1	15	31	30.52	3	94	31	66	14	6.1	48.5
Public	5	4	8	28	13	31	22	49	56	100	104	117	1.02	1.02	50.9	1.56	85.2	34.2	5	30.2	1	10.6	8.9	800	66.7	1	1	18	45	41.14	0	98	40	117	29.2	0.8	1.6
Public	5	3	73	104	83	108	73	109	34	97	89	106	0.59	0.55	58.2	0	81.3	35.6	6	50	1	3	0	758	0	1	1	17	18	17.97	22	72	18	47	11.4	0	40.4
Public	5	4	10	28	13	34	13	36	20	77	119	123	1.21	1.12	70.4	0.63	100	45.2	5.5	35.1	1	10.2	0	800	5.6	1	1	18	54	52.73	13	87	54	89	19.8	10	74.4
Public	5	3	25	54	24	57	28	65	14	60	104	116	0.96	0.88	71.6	0.23	100	43	5.3	45.8	1	7.2	13.5	786	0	1	1	18	37	31.45	14	84	32	52	12.6	3.8	9.6
Public	5	2	67	101	77	107	32	69	92	118	89	108	0.9	0.98	69.2	0.06	100	15.4	6.5	0	1	2.8	0	712	0	1	1	14	17	17	24	76	17	32	7	0	81.3
Private	2	4	12	39	27	57	41	71	25	79	93	113	0.64	1.26	57.3	0.65	100	50	6.01	31.5	1	12.2	4.2	800	25	1	1	15	71	65.71	15	54	68	102	17.8	0	49
Public	2	3	71	105	92	112	91	112	102	125	8	26	0.67	0.81	24.7	0	76.5	29.5	6	0	-1	2.2	2.9	792	0	1	1	15	35	33.96	3	86	34	48	12.6	0	75
Public	5	4	76	104	112	125	94	116	113	123	118	122	0.54	0.39	48.7	0.03	63.2	14.6	6.32	27.3	1	4.2	2.9	769	0	1	1	15	34	33.13	21	76	33	73	15.8	0	66.7
Public	1	3	71	98	75	98	73	101	27	89	71	98	0.81	0.67	39.2	0	100	29.1	5	37.5	1	3	19.1	777	0	1	1	13	47	37.07	19	68	38	54	17	1.9	73.6
Public	3	2	20	54	11	40	7	33	52	102	16	44	0.93	2.36	61.2	0.2	90	40	6	0	1	3.2	28.6	782	0	1	1	13	42	35.8	12	60	30	40	10.4	2.3	15.9
Public	3	4	35	63	50	82	32	66	46	106	25	62	1.29	0.49	51.7	0.55	100	40.3	5.5	0	1	5.4	0	778	0	1	1	16	57	55.92	7	89	57	81	18	0	84
Public	3	2	53	77	71	96	73	99	35	97	37	71	0.75	0.62	47.8	0.03	100	35.6	6.05	31.8	1	4.8	0	789	0	1	1	18	34	33.6	12	79	34	39	10	0	35.9
Public	5	1	87	114	123	127	117	125	86	117	126	127	0.42	0.2	33.3	0	66.7	40	5.37	0	1	1	0	787	0	-1	1	17	15	15	0	100	15	12	3.2	0	81.8
Public	4	1	61	98	33	68	41	72	1	32	2	12	0.62	1.27	62.5	0.3	100	82	6	0	1	4.2	6.7	737	6.1	-1	1	13	30	28	7	93	28	20	4.2	50	50
Public	2	4	16	51	31	68	31	71	65	106	11	32	0.95	0.68	78.8	0.08	92.3	36.5	5.3	0	1	12.4	6.1	791	0	1	1	17	49	46.25	8	90	46	81	12	15.3	75
Public	2	4	12	36	17	47	12	36	105	121	53	88	1.56	0.77	72	0.21	64.3	14.1	6.17	36.3	1	16.6	12.9	797	3.2	-1	1	13	85	72.66	16	76	74	181	34.6	2.8	61
Public	2	4	58	87	39	65	64	85	4	44	31	61	0.91	0.81	42.6	0.03	100	40.6	5.9	66.7	1	7.6	0	769	25	1	1	17	40	32	10	83	40	78	14	2.8	65.3
Public	2	1	49	80	34	76	30	72	27	93	16	47	1.3	0.93	41.4	0.03	100	38	5.9	35.7	1	3.2	0	777	0	1	-1	17	31	31	19	81	31	21	7	20	65
Public	4	3	37	69	28	57	37	67	3	30	99	116	0.91	1.19	50.5	0.25	100	43.9	4.53	61.5	1	5.8	29.4	755	0	1	1	17	51	35.15	10	90	36	51	15.4	11.8	54.9
Public	3	4	13	38	25	50	13	30	101	120	105	118	0.98	2.29	44.6	0.45	55	44.1	5.7	19.1	1	8.8	3.2	789	10	-1	1	16	62	45.48	10	89	60	95	24.4	4.7	40.7
Public	1	3	25	56	15	47	8	32	32	96	85	106	1.31	1.62	62.9	0.18	100	26.5	5.7	0	1	3.8	2.6	777	0	1	1	15	39	38.12	21	67	38	44	13	4.8	90.5
Public	4	2	106	123	68	94	75	104	47	106	8	20	1.07	0.47	26.7	0.04	100	44.1	5.2	0	-1	2.8	0	791	0	-1	-1	12	26	26	12	65	26	30	5.8	48.1	29.6
Private	3	1	63	98	52	87	33	71	64	114	65	91	0.93	0.82	62.5	0.46	100	15	8.4	0	1	1.2	4	768	0	-1	1	18	25	24	12	84	24	15	3.6	0	78.6
Public	2	4	4	12	7	20	6	23	27	83	54	88	1.21	1.01	84.8	1.36	100	57.7	5.5	17.7	1	14.4	1.4	800	7.7	1	1	18	72	48.71	13	86	71	101	21.6	5	71.3
Public	2	4	19	46	30	58	25	54	56	104	18	55	1.11	1.17	59.3	0.15	74.2	58.7	5.75	21.4	1	10.2	1.7	800	0	-1	1	14	60	58.44	8	90	59	128	23.2	7.7	63.2
Public	4	1	126	127	126	127	126	127	3	63	20	46	0.34	0.26	7.7	0	100	50.3	4.5	0	1	3.2	0	660	10.5	1	1	14	17	17	35	53	17	19	3.4	0	56.9
Public	2	3	48	71	37	62	34	62	13	70	19	51	1.39	0.65	48.3	0.16	100	38.6	3.6	30	1	5	2.6	777	0	1	1	16	39	38.12	0	97	38	54	15.8	1.9	92.6
Public	2	1	77	114	93	115	79	107	112	123	89	110	0.61	0.79	41.7	0	33.3	24	2.5	0	1	1.6	41.4	788	0	-1	-1	16	29	19.51	14	83	17	18	4.2	0	46.7
Public	2	3	66	100	45	72	63	91	14	69	72	99	0.81	0.67	54.7	0	96.3	19.7	4.83	64.3	1	3	10.5	790	21.1	1	1	16	38	33.74	8	84	34	65	20.2	1.6	50
Public	1	1	79	120	78	108	64	89	116	126	1	5	0.66	1.08	49.3	0	0	32.1	5	0	1	1.6	0	777	6.1	-1	1	13	13	12.83	8	92	13	19	4.6	0	88.9
Public	3	3	48	77	41	76	41	77	30	97	24	60	0.73	1	67.6	0.06	100	29	5	33.3	1	3.6	10.5	787	0	1	1	18	38	34.13	16	84	34	56	15.8	0	42.9
Public	4	2	85	115	88	115	68	98	75	123	44	80	0.84	0.61	46.2	0	100	33.3	5.6	0	-1	3.2	0	749	0	1	1	10	27	27	15	78	27	39	9	0	92.3
Private	2	3	19	49	10	27	15	40	2	32	56	88	1.24	1.3	64.4	0.03	88.9	66.3	5	57.1	1	6.4	9.8	798	11.1	1	1	13	41	38.24	2	83	37	50	10.4	0	32
Public	4	3	66	94	85	105	88	115	71	112	23	57	0.6	0.43	46.5	0.03	100	13.1	6	0	1	2.2	46.6	777	0	1	1	17	58	33.19	19	81	31	54	13	0	35.9
Public	5	3	36	68	30	61	28	61	38	101	123	125	1.17	0.83	64.7	0.03	100	34.8	5.7	60.9	-1	5	0	786	0	1	1	14	30	29.5	17	70	30	49	12.8	0	100
Private	1	3	17	42	25	54	33	65	11	56	70	100	0.8	0.8	63.1	1.15	100	53.4	4.7	34.3	1	7.6	3.2	800	0	1	1	18	31	27.46	3	90	30	56	15.2	0	64.8
Public	1	4	28	55	34	63	35	64	25	94	34	71	1.06	1.07	52.1	0.07	69.2	49.3	6	54.5	1	7	5.7	778	0	1	1	18	35	31.65	9	77	33	80	15.8	0	72.1
Public	1	1	112	126	91	117	108	125	2	35	73	100	0.52	0.91	0	0.09	100	41	3	50	1	1.8	0	777	0	1	1	13	17	11.77	24	76	17	12	5	0	100
Private	1	1	37	78	18	64	13	59	14	106	32	70	0.92	1.78	62.5	0	66.7	37.5	6	0	1	1.8	0	779	0	1	1	12	17	17	29	71	17	27	5.8	0	66.7
Public	3	2	58	87	77	103	58	84	113	125	28	67	1.01	0.68	46.4	0	0	30.8	6	63.6	1	3	0	769	0	1	1	16	34	34	21	79	34	37	9.4	0	93.9
Public	3	3	93	116	104	121	97	115	78	114	22	59	0.93	0.36	20	0	77.8	22.3	5	0	1	3.6	8	753	0	-1	1	17	25	23.7	N/D	N/D	23	48	12.8	0	93.5
Private	5	1	45	74	49	86	32	71	34	98	124	127	1.03	0.61	71.3	0.14	100	32.2	4.5	0	1	1.6	3.3	794	0	1	1	16	30	19.45	7	93	29	5	7	0	80
Public	4	3	39	65	36	62	43	69	25	81	72	97	0.88	1.26	47.5	0.18	100	34.2	6.7	50	1	3.8	36.4	777	0	1	1	16	44	28.75	7	84	28	48	10.8	2.1	29.2
Public	4	4	9	30	12	32	9	29	40	94	120	124	1	1.19	68.5	1.99	100	36.2	5	22.7	1	11	8.5	777	20	1	1	17	47	35.56	17	83	43	114	32.2	6	58
Public	2	1	98	120	118	126	125	127	26	104	3	15	0.28	0.48	11.8	0	100	37.4	5	0	1	2.2	0	771	0	1	1	17	22	22	23	77	22	20	6.2	0	94.7
Public	5	2	42	67	38	71	25	62	31	100	59	89	0.84	1.15	72.7	0.26	100	41	5.5	0	1	5.4	0	777	0	-1	1	16	43	41.86	9	91	43	35	16.6	6.3	65.6
Public	1	1	59	112	59	101	47	76	31	97	76	105	0.76	1.03	57.1	0.31	100	29.2	5.5	0	1	1.2	11.1	720	0	1	1	17	18	16.69	6	83	16	10	2	0	50
Public	3	2	50	74	24	56	39	74	2	33	64	91	0.87	0.65	65.1	0.71	100	35.3	5.2	73.9	1	4.8	0	792	0	1	1	16	24	22.75	13	79	24	40	12	0	53.7
Public	5	4	26	50	29	59	26	60	38	90	100	115	1	1.08	68.5	0.06	95.5	31.1	5.75	40	1	6.8	8.9	800	0	1	1	16	56	48.63	9	86	51	81	17.8	3.8	57
Public	2	4	6	15	6	16	6	22	28	84	71	100	1.57	1.1	72.6	0.56	100	34	5.73	41.7	1	13.2	7	800	12.9	1	1	17	57	51.3	14	N/D	53	138	30.8	0	77.2
Public	2	2	76	109	94	119	73	110	85	113	46	85	0.48	0.4	67.9	0.19	85.7	32.8	5.5	0	1	2.2	0	777	0	-1	1	13	36	36	17	78	35	36	7.4	0	69.7
Private	4	2	17	48	11	31	21	55	1	24	42	83	1.08	0.88	69.7	0.46	100	56.5	4.99	61.1	1	4.6	30.4	800	0	1	1	16	46	32.9	7	89	32	32	7.2	0	34.4
Public	3	2	61	93	52	82	63	90	11	60	31	65	0.8	0.65	57.6	0.02	100	44.1	3	0	1	5.4	24.6	771	0	-1	1	17	65	44.76	14	80	49	30	12	7.4	88.9
Private	2	2	55	78	60	90	62	97	26	77	84	106	0.72	0.66	55	0.1	83.3	36.6	4.74	50	1	3	0	792	0	1	1	18	20	19.55	15	85	20	38	9.4	2.5	47.5
Public	2	1	79	115	62	91	71	97	9	75	1	8	0.87	0.47	45.8	0.12	100	49.1	4.67	0	1	3.2	0	777	0	-1	1	14	33	33	9	88	33	26	5.8	0	81
Public	2	1	75	110	72	97	101	117	1	51	70	93	0.69	0.64	20.2	0	100	68.8	5.36	0	1	2	6.3	798	0	-1	1	18	16	15.39	13	88	15	9	1.75	0	0
Private	1	2	4	11	5	13	4	13	9	61	29	75	0.69	1.48	65	4.33	100	63.5	5.5	30.8	1	5.8	0	798	0	1	1	18	16	14.09	0	100	16	33	6	0	3
