Control	Regional Code	Program Size Quartile	R Rankings	S Rankings	Research Activity	Student Support & Outcomes	Diversity	1:Publications per Allocated Faculty	2:Citations per Publication	3:Percent Faculty with Grants	4:Awards per Allocated Faculty Member	9:Percent 1st-yr Students with Full Support	15:Average Completion Percentage	16:Median Time to Degree	17:Percent with Academic Plans	Post-Graduation Employment  (1=Yes; -1=No)	14:Average Number of  Ph.D.s Graduated	5:Percent of Interdisciplinary Faculty	8:Average GRE Scores	10:Percent of 1st-yr Students with External funding	18:Student Workspace	19:Student Health Insurance	20:Number of Student Activities Offered	Total Faculty 	Number of Allocated Faculty	Assistant Professors as a Percent of Total Faculty	Tenured Faculty as a Percent of Total Faculty	Number of Core and New Faculty	Number of Students Enrolled	Average Annual First Year Enrollment	Percent of Students with RA	Percent of Students with TA
Public	5	4	104	125	116	123	122	0.54	0.39	48.7	0.03	63.2	14.6	6.32	27.3	1	4.2	2.9	769	0	1	1	15	34	33.13	21	76	33	73	15.8	0	66.7
Public	1	3	98	98	101	89	98	0.81	0.67	39.2	0	100	29.1	5	37.5	1	3	19.1	777	0	1	1	13	47	37.07	19	68	38	54	17	1.9	73.6
Public	3	2	54	40	33	102	44	0.93	2.36	61.2	0.2	90	40	6	0	1	3.2	28.6	782	0	1	1	13	42	35.8	12	60	30	40	10.4	2.3	15.9
Public	3	4	63	82	66	106	62	1.29	0.49	51.7	0.55	100	40.3	5.5	0	1	5.4	0	778	0	1	1	16	57	55.92	7	89	57	81	18	0	84
Public	3	2	77	96	99	97	71	0.75	0.62	47.8	0.03	100	35.6	6.05	31.8	1	4.8	0	789	0	1	1	18	34	33.6	12	79	34	39	10	0	35.9
Public	5	1	114	127	125	117	127	0.42	0.2	33.3	0	66.7	40	5.37	0	1	1	0	787	0	-1	1	17	15	15	0	100	15	12	3.2	0	81.8
Public	4	1	98	68	72	32	12	0.62	1.27	62.5	0.3	100	82	6	0	1	4.2	6.7	737	6.1	-1	1	13	30	28	7	93	28	20	4.2	50	50
Public	2	4	51	68	71	106	32	0.95	0.68	78.8	0.08	92.3	36.5	5.3	0	1	12.4	6.1	791	0	1	1	17	49	46.25	8	90	46	81	12	15.3	75
Public	2	4	36	47	36	121	88	1.56	0.77	72	0.21	64.3	14.1	6.17	36.3	1	16.6	12.9	797	3.2	-1	1	13	85	72.66	16	76	74	181	34.6	2.8	61
Public	2	4	87	65	85	44	61	0.91	0.81	42.6	0.03	100	40.6	5.9	66.7	1	7.6	0	769	25	1	1	17	40	32	10	83	40	78	14	2.8	65.3
Public	2	1	80	76	72	93	47	1.3	0.93	41.4	0.03	100	38	5.9	35.7	1	3.2	0	777	0	1	-1	17	31	31	19	81	31	21	7	20	65
Public	4	3	69	57	67	30	116	0.91	1.19	50.5	0.25	100	43.9	4.53	61.5	1	5.8	29.4	755	0	1	1	17	51	35.15	10	90	36	51	15.4	11.8	54.9
Public	3	4	38	50	30	120	118	0.98	2.29	44.6	0.45	55	44.1	5.7	19.1	1	8.8	3.2	789	10	-1	1	16	62	45.48	10	89	60	95	24.4	4.7	40.7
Public	1	3	56	47	32	96	106	1.31	1.62	62.9	0.18	100	26.5	5.7	0	1	3.8	2.6	777	0	1	1	15	39	38.12	21	67	38	44	13	4.8	90.5
Public	4	2	123	94	104	106	20	1.07	0.47	26.7	0.04	100	44.1	5.2	0	-1	2.8	0	791	0	-1	-1	12	26	26	12	65	26	30	5.8	48.1	29.6
Private	3	1	98	87	71	114	91	0.93	0.82	62.5	0.46	100	15	8.4	0	1	1.2	4	768	0	-1	1	18	25	24	12	84	24	15	3.6	0	78.6
Public	2	4	12	20	23	83	88	1.21	1.01	84.8	1.36	100	57.7	5.5	17.7	1	14.4	1.4	800	7.7	1	1	18	72	48.71	13	86	71	101	21.6	5	71.3
Public	2	4	46	58	54	104	55	1.11	1.17	59.3	0.15	74.2	58.7	5.75	21.4	1	10.2	1.7	800	0	-1	1	14	60	58.44	8	90	59	128	23.2	7.7	63.2
Public	4	1	127	127	127	63	46	0.34	0.26	7.7	0	100	50.3	4.5	0	1	3.2	0	660	10.5	1	1	14	17	17	35	53	17	19	3.4	0	56.9
Public	2	3	71	62	62	70	51	1.39	0.65	48.3	0.16	100	38.6	3.6	30	1	5	2.6	777	0	1	1	16	39	38.12	0	97	38	54	15.8	1.9	92.6
Public	2	1	114	115	107	123	110	0.61	0.79	41.7	0	33.3	24	2.5	0	1	1.6	41.4	788	0	-1	-1	16	29	19.51	14	83	17	18	4.2	0	46.7
Public	2	3	100	72	91	69	99	0.81	0.67	54.7	0	96.3	19.7	4.83	64.3	1	3	10.5	790	21.1	1	1	16	38	33.74	8	84	34	65	20.2	1.6	50
Public	1	1	120	108	89	126	5	0.66	1.08	49.3	0	0	32.1	5	0	1	1.6	0	777	6.1	-1	1	13	13	12.83	8	92	13	19	4.6	0	88.9
Public	3	3	77	76	77	97	60	0.73	1	67.6	0.06	100	29	5	33.3	1	3.6	10.5	787	0	1	1	18	38	34.13	16	84	34	56	15.8	0	42.9
Public	4	2	115	115	98	123	80	0.84	0.61	46.2	0	100	33.3	5.6	0	-1	3.2	0	749	0	1	1	10	27	27	15	78	27	39	9	0	92.3
Private	2	3	49	27	40	32	88	1.24	1.3	64.4	0.03	88.9	66.3	5	57.1	1	6.4	9.8	798	11.1	1	1	13	41	38.24	2	83	37	50	10.4	0	32
Public	4	3	94	105	115	112	57	0.6	0.43	46.5	0.03	100	13.1	6	0	1	2.2	46.6	777	0	1	1	17	58	33.19	19	81	31	54	13	0	35.9
Public	5	3	68	61	61	101	125	1.17	0.83	64.7	0.03	100	34.8	5.7	60.9	-1	5	0	786	0	1	1	14	30	29.5	17	70	30	49	12.8	0	100
Private	1	3	42	54	65	56	100	0.8	0.8	63.1	1.15	100	53.4	4.7	34.3	1	7.6	3.2	800	0	1	1	18	31	27.46	3	90	30	56	15.2	0	64.8
Public	1	4	55	63	64	94	71	1.06	1.07	52.1	0.07	69.2	49.3	6	54.5	1	7	5.7	778	0	1	1	18	35	31.65	9	77	33	80	15.8	0	72.1
Public	1	1	126	117	125	35	100	0.52	0.91	0	0.09	100	41	3	50	1	1.8	0	777	0	1	1	13	17	11.77	24	76	17	12	5	0	100
Private	1	1	78	64	59	106	70	0.92	1.78	62.5	0	66.7	37.5	6	0	1	1.8	0	779	0	1	1	12	17	17	29	71	17	27	5.8	0	66.7
Public	3	2	87	103	84	125	67	1.01	0.68	46.4	0	0	30.8	6	63.6	1	3	0	769	0	1	1	16	34	34	21	79	34	37	9.4	0	93.9
