Var 1	Var 2	Var 3	Var 4	Var 5	Var 6	Var 7	Var 8	Var 9	Var 10	Var 11	Var 12	Var 13	Var 14	Var 15	Var 16	Var 17	Var 18	Var 19	Var 20	Var 21	Var 22	Var 23	Var 24	Var 25	Var 26	Var 27	Var 28	Var 29	Var 30	Var 31	Var 32	Var 33	Var 35	Var 32
0	0.6535477589	0.7729475154	0.0052813581	0.0312707917	0.7758938706	0.0086905564	0.2609033404	0.0112149533	0.5616438356	0.1596244131	0.4788519093	0	0.3870967742	0.4347826087	0.5625	0.3333333333	0	0.6363636364	0.1119402985	0.1917808219	0.5277777778	0.5555555556	0.3333333333	0	0	0	0	0	0.6	0.1714285714	0	0.5416666667	0	0.5682325786
0	0.6200175896	0.7497756788	0.034454574	0.0572188955	0.7131101022	0.0688308012	0.2206192431	0.0130841121	0.6712328767	0.1401743796	0.5821944975	0	0.3870967742	0.5652173913	0.59375	0.3333333333	0	0.6493506494	0.1417910448	0.2739726027	0.5555555556	0.7222222222	0.7333333333	0	0	0	0	0	0	0.2571428571	0	0.7916666667	0	0.4947375498
0	0.7347268901	0.9714050607	0	0	0.8474035187	0.004771833	0.2908667185	0.0211838006	0.5205479452	0.3775989269	0.6358129304	0	0.0322580645	0.4347826087	0.65625	0.7777777778	0	0.7532467532	0.1679104478	0.1780821918	0.5868055556	0.5555555556	0	0	0	0	0	0	0	0.4571428571	0	0.375	0	0.1547660843
0	0.8933944781	0.9905019106	0	0.0485695276	0.9161464245	0.0301339063	0.2521362779	0.0205607477	0.4794520548	0.0382293763	0.6220747846	0	0.0967741935	0.6956521739	0.859375	0.2222222222	0	0.7922077922	0.1641791045	0.1917808219	0.5902777778	0.6111111111	0	0	0	0	0	0	0.8	0.1142857143	0	0.4583333333	0	0
0	0.7086251845	0.8803941051	0	0.0512308716	0.838677639	0.0775014252	0.2469204306	0.0161993769	0.7397260274	0.2367538565	0.4951862402	0	0.0967741935	0.6086956522	0.703125	0.3333333333	0	0.7272727273	0.1902985075	0.2328767123	0.5972222222	0.6666666667	0.2666666667	0	0	0	0	0	0.8	0.5428571429	0	0.5	0	0.2193422124
0	0.6391776863	0.8628773521	0.0121345489	0.0259481038	0.6660045403	0.0481129932	0.1823327045	0.0074766355	0.5205479452	0.0295103957	0.3863628169	0	0.1612903226	0.4782608696	0.484375	0	0	0.4935064935	0.0746268657	0.1232876712	0.5381944444	0.5	0.2666666667	0	0	0	0	0	0	0.1142857143	0	0.5416666667	0	0.3849095785
0	0.73504099	0.9506055579	0	0.0222887558	0.7219778661	0.0160257049	0.2569082233	0.0218068536	0.5068493151	0.0938967136	0.4933112177	0	0.0967741935	0.4782608696	0.71875	0.1111111111	0	0.6883116883	0.1231343284	0.1643835616	0.5138888889	0.5555555556	0	0	0	0	0	0	0.6	0.1142857143	0	0.2083333333	0	0.2170938128
0	0.6905958476	0.9636884101	0.0853819554	0.0405854957	0.7939131669	0.0615036257	0.2737764954	0.0274143302	0.8356164384	0.8222669349	0.5217250207	0	0.3225806452	0.5652173913	0.625	0.6666666667	0	0.6883116883	0.1791044776	0.2739726027	0.5416666667	0.6111111111	0.2666666667	0	0	0	0	0	0	0.3714285714	0	0.4166666667	0.4	0.0967334713
0	0.6870151082	0.9725299496	0	0.0382568197	0.8746452894	0.0075504192	0.2695594274	0.0261682243	0.7808219178	0.6150234742	0.6342263729	0	0.5161290323	0.6956521739	0.625	0.6666666667	0	0.7402597403	0.1641791045	0.2328767123	0.5763888889	0.7222222222	0.4	0	0	0	0	0	0	0.2571428571	0	0.5416666667	0	0.1653358033
0	0.8597543738	0.9527896808	0.0076705439	0.0528942116	0.8942253121	0.0189079399	0.2788813672	0.014953271	0.8082191781	0.1361502347	0.6257527134	0	0.2580645161	0.4347826087	0.78125	0.2222222222	0	0.7402597403	0.1380597015	0.1917808219	0.5277777778	0.6111111111	0	0	0	0.9047619048	0	0.7777777778	0	0.1714285714	0	0.4583333333	0.4	0.0989818709
0	0.659060213	0.9647957911	0	0.0192947438	0.7985953462	0.0117322511	0.258017978	0.0143302181	0.5479452055	0.1341381623	0.5994302816	0	0	0.4347826087	0.625	0.3333333333	0	0.6753246753	0.1305970149	0.1643835616	0.5243055556	0.6111111111	0.2	0	0	0	0	0	0	0.2857142857	0	0.625	0	0.2065016844
0	0.4877972171	0.4190627093	1	1	0.4706299659	0.2362635391	1	1	0	0.2320590208	0.4531785238	0	0.8387096774	0.652173913	0.828125	0.3333333333	0	0.6363636364	0.7089552239	1	0.5381944444	0.6666666667	0.7333333333	0	0	0	0	0	0	0.2	0	0.875	0.8	0.6579668791
0	0.6125577159	0.8108304482	0	0.0405854957	0.8237797957	0.0611687602	0.2736655199	0.0168224299	0.6301369863	0.2059020791	0.6105722425	0	0.2903225806	0.6086956522	0.796875	0.4444444444	0	0.8181818182	0.2313432836	0.2739726027	0.5069444444	0.9444444444	0.6666666667	0	0	0	0	0	0.6	0.3428571429	0	0.9166666667	0.6	0.3906837077
0	0.7389986494	0.8925183943	0.0389185791	0.0475715236	0.776177639	0.0452586636	0.2583509045	0.0199376947	0.7808219178	0.1019450034	0.5647784228	0	0.1290322581	0.4782608696	0.75	0.2222222222	0	0.7792207792	0.1902985075	0.2739726027	0.5138888889	0.7222222222	0	0	0	0	0	0	0	0.2571428571	0	0.5416666667	0	0.2331388704
0	0.4726733046	0.5288291088	0.0468406162	0.1563539587	0.5658342792	0.1827448604	0.2158472977	0.0143302181	0.6164383562	0.1770623742	0.6117982187	0	0.1935483871	1	0.8125	0.5555555556	0	0.7662337662	0.2537313433	0.2191780822	0.4236111111	0.7222222222	0.4	0	0	0	0	0	0	0.2571428571	0	0.7083333333	0	0.7339642796
0	0.5187203568	0.6455024139	0.0223828985	0.1067864271	0.6884222474	0.1032023504	0.242814338	0.0174454829	0.602739726	0.106639839	0.5597663433	0	0.3870967742	0.8695652174	0.78125	0.3333333333	0	0.8181818182	0.2611940299	0.2328767123	0.5486111111	0.8888888889	0.5333333333	0	0	0	0	1	0	0.2285714286	0	0.7083333333	0	0.6624113899
0	0.6332097874	0.8054073455	0.0433825841	0.0379241517	0.7571651532	0.0556554394	0.3009654866	0.0193146417	0.7534246575	0.2441314554	0.6735297299	0	0.1290322581	0.5652173913	0.84375	0.3333333333	0	0.8571428571	0.2276119403	0.2465753425	0.6284722222	0.7222222222	0.3333333333	0	0	0	0	0	0	0.3714285714	0	0.5833333333	0	0.3868890665
0	0.2328108804	0.2123107495	0.0462118831	0.1799733866	0.4160754824	0.4109995336	0.1624680946	0.014953271	0.4931506849	0.081824279	0.5164605344	0	0.2258064516	0.7391304348	0.890625	0.3333333333	0	0.8701298701	0.3320895522	0.2602739726	0.4027777778	0.8888888889	0.6666666667	0	0	0	0	0	0.8	0.2857142857	0	0.9166666667	0	1
0	0.5615792945	0.728573492	0.3637221	0.0861610113	0.6386208854	0.101858902	0.2712240595	0.0361370717	0.6301369863	0.2186452046	0.4490318393	0	0.3225806452	0.4782608696	0.625	0.2222222222	0	0.7142857143	0.2014925373	0.397260274	0.5416666667	0.7777777778	0.4666666667	0	0	0	0	0	0	0.2571428571	0	0.5416666667	0	0.4878429556
